,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O,gH2O,aH2O,mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
0,6.526273786020903e-05,0.21582662724870882,1.4085436597385525e-05,1.3395366050432807e-07,0.7465268184818972,1.0000000000030014e-07,0.9890624184525074,1.0009039426896584,0.9899564741952835,0.021857929949810492,1.048803558735503,0.02292467471795258,0.09197427676191954,0.6511539203541822,0.05988941088526447,0.19992936800552935,0.7146177765403451,0.14287308042922778,0.29205494289085077,0.6916689179733742,0.20200532633809032,2.089038829422373e-05,0.6403735109364048,1.3377651296796823e-05,0.007939569775390473,1.0,0.007939569775390473,1.6213047273849464e-08,0.7035310392493597,1.1406381997970306e-08,9.996468400276479e-17,1.0,9.996468400276479e-17,1.0,1.0,1.0,0.11389746944959024,0.2921203395823712,-11.709519496893549,-0.6346420234942127,6.999999999998696,-0.5315807716336034,-2.2141891762273906,-111.311124185352,66.47833849294635,9.398032193754007,-3.087715952912804,273.15,7.0,0.2
1,6.862998601264101e-05,0.21208264682940545,1.4555229085425972e-05,1.548775197870803e-07,0.7433912157163949,1.1513458772165767e-07,0.9890585869228804,1.0008947004950146,0.9899434981301989,0.021869530889571828,1.0488423309920494,0.02293768975592115,0.0921767986336119,0.6516642781701782,0.06006832694561058,0.19992932622880796,0.714976589765173,0.14294478786112186,0.2922723957231339,0.6920440683452643,0.20226537780125461,2.9142952274699348e-05,0.6379707500266252,1.85923511206801e-05,0.007713801688686707,1.0,0.007713801688686707,2.2813933936561627e-08,0.7024556597153957,1.6025777014110863e-08,9.996466311440413e-17,1.0,9.996466311440413e-17,1.0,1.0,1.0,0.11411495950919638,0.2923411805866664,-11.614144329122302,-0.6409952777721305,6.9387941898354155,-0.4474284353061877,-2.061629554273042,-109.17970965248674,65.54734976742427,9.32780898509899,-3.091648992997432,278.15,7.0,0.2
2,7.162499616730612e-05,0.21070491079629336,1.5091738428217097e-05,1.7532629915777597e-07,0.7402728383279571,1.2978929711106343e-07,0.9890550209017468,1.0008863899681442,0.9899317093502167,0.021883726885738294,1.0488784209816666,0.022953368901107222,0.09236205466844662,0.6521839031881218,0.0602370453201422,0.19992927511085176,0.7151352599603957,0.14297647413009246,0.2924747972129733,0.6922908347041229,0.2024776214924884,4.036077929391238e-05,0.6355822314062505,2.565259416492e-05,0.007500105663866866,1.0,0.007500105663866866,3.198834557568725e-08,0.7013863769643396,2.243618980841454e-08,9.996463755542601e-17,1.0,9.996463755542601e-17,1.0,1.0,1.0,0.11431740655035222,0.29254659753543977,-11.53216078766784,-0.6479116693568509,6.886761119532984,-0.3696814226963127,-1.9149532295838383,-107.13865667543892,64.65431695789995,9.264019849149062,-3.095640551058555,283.15,7.0,0.2
3,7.428040698191083e-05,0.21119422843772828,1.56875932405851e-05,1.9473395642207533e-07,0.737171737439238,1.4355236899407802e-07,0.9890517186771138,1.0008789276090317,0.9899210235394194,0.021901482265419048,1.0489118466591776,0.022972724207593925,0.09252915303466676,0.6527124068975457,0.0603949261854487,0.19992921118035634,0.7151108003698411,0.1429715382244956,0.2926622494010921,0.6924206972479254,0.20264539878845042,5.547443769499755e-05,0.6332078533441776,3.51268496083247e-05,0.007297443882800008,1.0,0.007297443882800008,4.46683665872292e-08,0.7003229637345211,3.128228287354836e-08,9.99646055901784e-17,1.0,9.99646055901784e-17,1.0,1.0,1.0,0.11450491570706772,0.2927367245420304,-11.462295784903679,-0.6553582670781832,6.842989636099788,-0.29778794711366907,-1.7738507731268667,-105.1826080346206,63.79712069229836,9.206102457318924,-3.099681410931865,288.15,7.0,0.2
4,7.784298484032434e-05,0.2098290252966202,1.6333717635224856e-05,2.1263229496920697e-07,0.7340878754758198,1.5609078967149288e-07,0.9890486805035056,1.0008722553827925,0.9899113835389186,0.021925205144616332,1.0489426075849007,0.022998281856227737,0.09267444503098564,0.6532462363093745,0.06053923241855138,0.19992912576483332,0.714915232055357,0.14293237734079045,0.29283475074051746,0.6924452934116073,0.20277204489763248,7.564452240422338e-05,0.6308444698473028,4.771992863294473e-05,0.007104644283536329,1.0,0.007104644283536329,6.208490856031267e-08,0.6992617262453625,4.3413600333669795e-08,9.996456288241643e-17,1.0,9.996456288241643e-17,1.0,1.0,1.0,0.1146774931604423,0.2929128063576527,-11.403360061150739,-0.6633019636491227,6.806622722260177,-0.23122060842536968,-1.6380341644503,-103.30659763548736,62.97377765783539,9.153539125717684,-3.103764998320923,293.15,7.0,0.2
5,8.165673359712e-05,0.20847613812502871,1.702348047223187e-05,2.2862886381003294e-07,0.7310215878636263,1.6713263505386695e-07,0.9890459175647354,1.0008662926261065,0.9899027207500023,0.021955686417413033,1.0489705909325877,0.02303086935560434,0.09279716674134221,0.6537869630984974,0.06066957782796701,0.19992901602037835,0.7145650843268858,0.14286229419199298,0.2929916696789166,0.6923737360788549,0.20285973697557325,0.00010231621865681138,0.6284939396097536,6.430512334959237e-05,0.006920888965590537,1.0,0.006920888965590537,8.586020878430406e-08,0.6982044584113014,5.994798057332621e-08,9.996450801018914e-17,1.0,9.996450801018914e-17,1.0,1.0,1.0,0.11483450989235237,0.29307355504137755,-11.354340406379142,-0.6717153472728722,6.776938739574245,-0.16953141226409718,-1.507234997020443,-101.50607113382405,62.18248539829753,9.105880302234405,-3.1078840664672205,298.15,7.0,0.2
6,8.681646202461505e-05,0.20408063250746433,1.7717558482043692e-05,2.4290204751806234e-07,0.7272715919620105,1.766557587892932e-07,0.9890432304150334,1.0008638936700054,0.9898976586011505,0.02199554706270828,1.0489978170886947,0.023073280854452635,0.09290494099459463,0.6537021517300685,0.06073215983452157,0.19992887251070782,0.7133862023206958,0.14262649909467243,0.29314433642412746,0.6915491840348722,0.20272372665854943,0.00013701478565481,0.6255507159377103,8.570969726041828e-05,0.00673330830176989,1.0,0.00673330830176989,1.1811116846622605e-07,0.696479523988593,8.226201039109364e-08,9.996443625535376e-17,1.0,9.996443625535376e-17,1.0,1.0,1.0,0.11498730451932752,0.2932313957881997,-11.313900054712201,-0.680547522947049,6.752872200461533,-0.11227754230964263,-1.3812016608441275,-99.7767810943383,61.42154138179561,9.06270516589127,-3.1128515245461132,303.15,7.0,0.2
7,9.127531411239173e-05,0.20199415222080264,1.8437079692820014e-05,2.5486281049224126e-07,0.7235465744065606,1.8440511347528967e-07,0.9890408664868635,1.0008620643650321,0.9898934833734222,0.02204495036967894,1.0490217818465992,0.023125633117520455,0.0929856099356476,0.653626296178559,0.06077783982014155,0.19992869465727886,0.7120831684916652,0.14236585836395782,0.29327870903868036,0.6906459712427082,0.20255175884882706,0.0001819471170426248,0.6226284193871237,0.00011328544589629337,0.0065537364677341,1.0,0.0065537364677341,1.6156329700358355e-07,0.694763756385622,1.1224832312025568e-07,9.996434732863936e-17,1.0,9.996434732863936e-17,1.0,1.0,1.0,0.11512183561943894,0.29337023921560335,-11.281608876125945,-0.6897977257530595,6.734227040314324,-0.0591045575885623,-1.259701393519004,-98.11484288139565,60.689411047809465,9.023656686147147,-3.1178447546872343,308.15,7.0,0.2
8,9.584811175346367e-05,0.2000101659659084,1.9170596739329193e-05,2.64452046053009e-07,0.7198472708976001,1.9036508363454503e-07,0.9890388515705658,1.0008607589098049,0.9898901755741983,0.022107136701660604,1.049042226803609,0.023191319913761832,0.09303368038419625,0.6535574523211717,0.06080285513195748,0.19992847079690498,0.7106654784175312,0.1420822623481679,0.2933933391344096,0.6896727797112989,0.2023453997496081,0.00023953649868396353,0.61972562804979,0.00014844690708776687,0.006381181063926342,1.0,0.006381181063926342,2.1968316342763306e-07,0.6930550283138096,1.5225252104940544e-07,9.996423539845236e-17,1.0,9.996423539845236e-17,1.0,1.0,1.0,0.11523666519761032,0.29348945169820906,-11.256650411316528,-0.6994394790047291,6.720412706032602,-0.00963046353744587,-1.1425154269369133,-96.51659432370714,59.984611672164874,8.988384556713703,-3.1228613918257904,313.15,7.0,0.2
9,0.0001005520617567085,0.1979740944272924,1.990670336908156e-05,2.7169136777609553e-07,0.7161746282099667,1.945784643049024e-07,0.9890372205669878,1.0008599249083365,0.9898877183082254,0.022184929781805526,1.0490588007503907,0.02327329583163254,0.09304435169497334,0.6534957997506257,0.06080409302318509,0.1999281907709166,0.7091440323376621,0.14177788338126115,0.2934862579435972,0.6886368605086312,0.20210545527270507,0.0003125861982282096,0.616843034166876,0.00019281661895377753,0.006214792346244581,1.0,0.006214792346244581,2.968473333677093e-07,0.6913534586182002,2.0522643060535559e-07,9.996409538545822e-17,1.0,9.996409538545822e-17,1.0,1.0,1.0,0.11532983353853558,0.29358708169672165,-11.238297456907164,-0.7094487004836219,6.710905228564612,0.03648738858624381,-1.0294389645593245,-94.9786407565576,59.30577040022843,8.956575175834702,-3.1278994720141786,318.15,7.0,0.2
